brand,features,price,rating,rating_count,link
Micromax,"['81cm (32 inch) HD Ready LED TV with IPS Panel', 'HD Ready 1366 x 768 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'IPS', '1 Year Warranty']",8499,4.3,12738,https://www.flipkart.com/micromax-81cm-32-inch-hd-ready-led-tv-ips-panel/p/itm53b723e84ec36?pid=TVSFB289WXMJJMHU&lid=LSTTVSFB289WXMJJMHU4LID2N&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFB289WXMJJMHU.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Motorola,"['80.5cm (32 inch) HD Ready LED Smart Android TV with Wireless Gamepad', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'IPS', '1 Year Warranty on Product']",13999,4.3,12223,https://www.flipkart.com/motorola-80-5cm-32-inch-hd-ready-led-smart-android-tv-wireless-gamepad/p/itmffvfvsbyxgyz2?pid=TVSFFVFVMFGF3ZAN&lid=LSTTVSFFVFVMFGF3ZANBNVIDT&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFFVFVMFGF3ZAN.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Vu,"['80cm (32 inch) HD Ready LED TV with FM Radio', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '1 x HDMI | 1 x USB', 'A+ Grade', '1 Year Vu Domestic Warranty']",7999,4.4,20824,https://www.flipkart.com/vu-80cm-32-inch-hd-ready-led-tv-fm-radio/p/itm0a0d5a7f22c8b?pid=TVSFJY52HBCVBN5D&lid=LSTTVSFJY52HBCVBN5DNQGKPU&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFJY52HBCVBN5D.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Motorola,"['127cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'VA Type', '1 Year Warranty on Product']",32499,4.3,8246,https://www.flipkart.com/motorola-127cm-50-inch-ultra-hd-4k-led-smart-android-tv-wireless-gamepad/p/itmffvfvevaeuyhy?pid=TVSFFVFV7RF3JU2W&lid=LSTTVSFFVFV7RF3JU2WKJHTA6&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFFVFV7RF3JU2W.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
LG,"['All-in-One 108cm (43 inch) Full HD LED Smart TV', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '50 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'IPS Panel', '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module']",27999,4.3,19812,https://www.flipkart.com/lg-all-in-one-108cm-43-inch-full-hd-led-smart-tv/p/itmfhsgbwmvkhfj5?pid=TVSFHSGBGWNGKTPG&lid=LSTTVSFHSGBGWNGKTPGHEIAI9&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFHSGBGWNGKTPG.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Nokia,"['108cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by JBL', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'A+ Grade Panel', '1 Year Warranty on Product']",31999,4.4,2216,https://www.flipkart.com/nokia-108cm-43-inch-ultra-hd-4k-led-smart-android-tv-sound-jbl/p/itmffvfvhmxgbzgu?pid=TVSFFVFVNB4KTCXH&lid=LSTTVSFFVFVNB4KTCXHTGXWXS&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFFVFVNB4KTCXH.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Motorola,"['109cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'IPS', '1 Year Warranty on Product']",28999,4.3,8246,https://www.flipkart.com/motorola-109cm-43-inch-ultra-hd-4k-led-smart-android-tv-wireless-gamepad/p/itmffvfvg2xagrhu?pid=TVSFFVFV6DPFPFR6&lid=LSTTVSFFVFV6DPFPFR6WUXMZV&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFFVFV6DPFPFR6.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Thomson,"['B9 Pro 80cm (32 inch) HD Ready LED Smart TV', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'A+ Samsung Panel', 'My wall interface with 10000000+ hrs of content', '1 Year Warranty']",10499,4.3,67316,https://www.flipkart.com/thomson-b9-pro-80cm-32-inch-hd-ready-led-smart-tv/p/itm1cef346eb7442?pid=TVSF5YYHXKYHVGF6&lid=LSTTVSF5YYHXKYHVGF6NBU1UR&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSF5YYHXKYHVGF6.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Motorola,"['139cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'IPS', '1 Year Warranty on Product']",38499,4.3,8246,https://www.flipkart.com/motorola-139cm-55-inch-ultra-hd-4k-led-smart-android-tv-wireless-gamepad/p/itmffvfv3yu629ra?pid=TVSFFVFVDZ2B9PGQ&lid=LSTTVSFFVFVDZ2B9PGQKIJMGT&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFFVFVDZ2B9PGQ.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Thomson,"['B9 Pro 102cm (40 inch) Full HD LED Smart TV', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'A+ Samsung Panel', 'My wall interface with 10000000+ hrs of content', '1 Year Warranty']",15499,4.3,67316,https://www.flipkart.com/thomson-b9-pro-102cm-40-inch-full-hd-led-smart-tv/p/itmf5yyhdvp7rbd8?pid=TVSF5YYHTYEG7NHB&lid=LSTTVSF5YYHTYEG7NHBFBSO6P&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSF5YYHTYEG7NHB.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Nokia,"['139cm (55 inch) Ultra HD (4K) LED Smart Android TV with Sound by JBL', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'ADS', '1 year warranty on product.']",41999,4.4,4100,https://www.flipkart.com/nokia-139cm-55-inch-ultra-hd-4k-led-smart-android-tv-sound-jbl/p/itmffvfvyztsmfmq?pid=TVSFFVFVJEGZ3R5H&lid=LSTTVSFFVFVJEGZ3R5HW9DJ5W&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFFVFVJEGZ3R5H.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Coocaa,"['81cm (32 inch) HD Ready LED Smart TV with YouTube', 'Youtube', 'Operating System: Linux', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', 'A+Grade panel', '1 Year Domestic Warranty']",8699,4.2,1692,https://www.flipkart.com/coocaa-81cm-32-inch-hd-ready-led-smart-tv-youtube/p/itmdab8fd558f47c?pid=TVSFKHZKCYRHMFZB&lid=LSTTVSFKHZKCYRHMFZB7XAA0G&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFKHZKCYRHMFZB.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
